FIPS State Code,FIPS County Code,Census Tract Code,Area Name (State or County),Language Code,Language,Number of speakers
00,000,000000,United States,000,English,215423555
00,000,000000,United States,601,Jamaican Creole,17460
00,000,000000,United States,602,Krio,4760
00,000,000000,United States,603,Hawaiian Pidgin,150
00,000,000000,United States,604,Pidgin,2270
00,000,000000,United States,605,Gullah,620
00,000,000000,United States,607,German,1382615
00,000,000000,United States,608,Pennsylvania Dutch,83720
00,000,000000,United States,609,Yiddish,178945
00,000,000000,United States,610,Dutch,150485
00,000,000000,United States,611,Afrikaans,16010
00,000,000000,United States,612,Frisian,920
00,000,000000,United States,613,Luxembourgian,830
00,000,000000,United States,614,Swedish,67655
00,000,000000,United States,615,Danish,33395
00,000,000000,United States,616,Norwegian,55465
00,000,000000,United States,617,Icelandic,5660
00,000,000000,United States,618,Faroese,70
00,000,000000,United States,619,Italian,1008370
00,000,000000,United States,620,French,1626585
00,000,000000,United States,623,French Creole,453370
00,000,000000,United States,624,Cajun,17240
00,000,000000,United States,625,Spanish,28100725
00,000,000000,United States,626,Catalonian,1660
00,000,000000,United States,627,Ladino,320
00,000,000000,United States,629,Portuguese,564630
00,000,000000,United States,631,Romanian,114840
00,000,000000,United States,632,Rhaeto-Romanic,100
00,000,000000,United States,633,Welsh,2655
00,000,000000,United States,634,Breton,45
00,000,000000,United States,635,Irish Gaelic,25870
00,000,000000,United States,636,Scottic Gaelic,1605
00,000,000000,United States,637,Greek,365435
00,000,000000,United States,638,Albanian,79515
00,000,000000,United States,639,Russian,706240
00,000,000000,United States,640,Bielorussian,2360
00,000,000000,United States,641,Ukrainian,129180
00,000,000000,United States,642,Czech,70500
00,000,000000,United States,644,Lusatian,250
00,000,000000,United States,645,Polish,667415
00,000,000000,United States,646,Slovak,41300
00,000,000000,United States,647,Bulgarian,28565
00,000,000000,United States,648,Macedonian,19165
00,000,000000,United States,649,Serbocroatian,130100
00,000,000000,United States,650,Croatian,58390
00,000,000000,United States,651,Serbian,45375
00,000,000000,United States,652,Slovene,9760
00,000,000000,United States,653,Lithuanian,38300
00,000,000000,United States,654,Lettish,19845
00,000,000000,United States,655,Armenian,202710
00,000,000000,United States,656,Persian,312085
00,000,000000,United States,657,Pashto,7710
00,000,000000,United States,658,Kurdish,10190
00,000,000000,United States,659,Balochi,115
00,000,000000,United States,660,Tadzhik,225
00,000,000000,United States,662,"India, n.e.c.",80240
00,000,000000,United States,663,Hindi,317055
00,000,000000,United States,664,Bengali,128820
00,000,000000,United States,665,Panjabi,141740
00,000,000000,United States,666,Marathi,35010
00,000,000000,United States,667,Gujarati,235990
00,000,000000,United States,668,Bihari,125
00,000,000000,United States,669,Rajasthani,335
00,000,000000,United States,670,Oriya,2365
00,000,000000,United States,671,Urdu,262900
00,000,000000,United States,672,Assamese,760
00,000,000000,United States,673,Kashmiri,945
00,000,000000,United States,674,Nepali,10710
00,000,000000,United States,675,Sindhi,7815
00,000,000000,United States,676,"Pakistan, n.e.c.",13960
00,000,000000,United States,677,Sinhalese,13890
00,000,000000,United States,678,Romany,2570
00,000,000000,United States,679,Finnish,39770
00,000,000000,United States,680,Estonian,7335
00,000,000000,United States,682,Hungarian,117975
00,000,000000,United States,683,Other Uralic Lang.,85
00,000,000000,United States,686,Kazakh,200
00,000,000000,United States,687,Kirghiz,50
00,000,000000,United States,688,Karachay,675
00,000,000000,United States,689,Uighur,1685
00,000,000000,United States,690,Azerabaijani,665
00,000,000000,United States,691,Turkish,74130
00,000,000000,United States,692,Turkmen,170
00,000,000000,United States,694,Mongolian,2575
00,000,000000,United States,695,Tungus,45
00,000,000000,United States,696,Caucasian,4440
00,000,000000,United States,697,Basque,2780
00,000,000000,United States,698,Dravidian,1310
00,000,000000,United States,701,Telugu,86165
00,000,000000,United States,702,Kannada,24390
00,000,000000,United States,703,Malayalam,79855
00,000,000000,United States,704,Tamil,83965
00,000,000000,United States,706,Munda,880
00,000,000000,United States,708,Chinese,1499635
00,000,000000,United States,709,Hakka,960
00,000,000000,United States,710,"Kan, Hsiang",35
00,000,000000,United States,711,Cantonese,259750
00,000,000000,United States,712,Mandarin,174550
00,000,000000,United States,713,Fuchow,805
00,000,000000,United States,714,Formosan,84590
00,000,000000,United States,715,Wu,1820
00,000,000000,United States,716,Tibetan,5110
00,000,000000,United States,717,Burmese,19700
00,000,000000,United States,718,Karen,240
00,000,000000,United States,719,Kachin,65
00,000,000000,United States,720,Thai,120465
00,000,000000,United States,721,"Miao-Yao, Mien",16510
00,000,000000,United States,722,"Miao, Hmong",168065
00,000,000000,United States,723,Japanese,477995
00,000,000000,United States,724,Korean,894065
00,000,000000,United States,725,Laotian,149305
00,000,000000,United States,726,"Mon-Khmer, Cambodian",181890
00,000,000000,United States,728,Vietnamese,1009625
00,000,000000,United States,731,Moluccan,70
00,000,000000,United States,732,Indonesian,48140
00,000,000000,United States,734,Balinese,125
00,000,000000,United States,735,Cham,920
00,000,000000,United States,736,Javanese,180
00,000,000000,United States,738,Malagasy,240
00,000,000000,United States,739,Malay,10670
00,000,000000,United States,742,Tagalog,1224240
00,000,000000,United States,743,Bisayan,15820
00,000,000000,United States,744,Sebuano,7255
00,000,000000,United States,745,Pangasinan,2035
00,000,000000,United States,746,Ilocano,75605
00,000,000000,United States,747,Bikol,445
00,000,000000,United States,748,Pampangan,5545
00,000,000000,United States,750,Micronesian,2580
00,000,000000,United States,751,Carolinian,110
00,000,000000,United States,752,Chamorro,15955
00,000,000000,United States,753,Gilbertese,155
00,000,000000,United States,754,Kusaiean,570
00,000,000000,United States,755,Marshallese,5655
00,000,000000,United States,756,Mokilese,190
00,000,000000,United States,759,Palau,2335
00,000,000000,United States,760,Ponapean,1350
00,000,000000,United States,761,Trukese,2265
00,000,000000,United States,762,Ulithean,80
00,000,000000,United States,763,Woleai-Ulithi,90
00,000,000000,United States,764,Yapese,585
00,000,000000,United States,765,Melanesian,840
00,000,000000,United States,766,Polynesian,625
00,000,000000,United States,767,Samoan,57900
00,000,000000,United States,768,Tongan,24065
00,000,000000,United States,769,Niuean,55
00,000,000000,United States,770,Tokelauan,70
00,000,000000,United States,771,Fijian,3335
00,000,000000,United States,772,Marquesan,290
00,000,000000,United States,773,Rarotongan,65
00,000,000000,United States,774,Maori,260
00,000,000000,United States,775,Nukuoro,55
00,000,000000,United States,776,Hawaiian,27160
00,000,000000,United States,777,Arabic,614580
00,000,000000,United States,778,Hebrew,195375
00,000,000000,United States,779,Syriac,62890
00,000,000000,United States,780,Amharic,82070
00,000,000000,United States,781,Berber,435
00,000,000000,United States,782,Chadic,3220
00,000,000000,United States,783,Cushite,41800
00,000,000000,United States,784,Sudanic,2430
00,000,000000,United States,785,Nilotic,2995
00,000,000000,United States,786,Nilo-Hamitic,410
00,000,000000,United States,787,Nubian,160
00,000,000000,United States,788,Saharan,60
00,000,000000,United States,789,Nilo-Saharan,70
00,000,000000,United States,790,Khoisan,65
00,000,000000,United States,791,Swahili,36690
00,000,000000,United States,792,Bantu,25075
00,000,000000,United States,793,Mande,12340
00,000,000000,United States,794,Fulani,12550
00,000,000000,United States,795,Gur,435
00,000,000000,United States,796,"Kru, Ibo, Yoruba",179275
00,000,000000,United States,797,Efik,5275
00,000,000000,United States,798,Mbum (And Related),200
00,000,000000,United States,799,"African, not further spec.",12950
00,000,000000,United States,800,Aleut,1030
00,000,000000,United States,801,Pacific Gulf Yupik,75
00,000,000000,United States,802,Eskimo,2425
00,000,000000,United States,803,Inupik,6420
00,000,000000,United States,804,St Lawrence Is Yupik,830
00,000,000000,United States,805,Yupik,16910
00,000,000000,United States,806,Algonquian,515
00,000,000000,United States,807,Arapaho,1215
00,000,000000,United States,808,Atsina,80
00,000,000000,United States,809,Blackfoot,1600
00,000,000000,United States,810,Cheyenne,2320
00,000,000000,United States,811,Cree,1560
00,000,000000,United States,812,Delaware,310
00,000,000000,United States,813,Fox,755
00,000,000000,United States,814,Kickapoo,820
00,000,000000,United States,815,Menomini,805
00,000,000000,United States,816,French Cree,230
00,000,000000,United States,817,Miami,310
00,000,000000,United States,818,Micmac,330
00,000,000000,United States,819,Ojibwa,8355
00,000,000000,United States,820,Ottawa,560
00,000,000000,United States,821,Passamaquoddy,970
00,000,000000,United States,822,Penobscot,70
00,000,000000,United States,823,Abnaki,90
00,000,000000,United States,824,Potawatomi,845
00,000,000000,United States,825,Shawnee,490
00,000,000000,United States,827,Yurok,280
00,000,000000,United States,828,Kutenai,360
00,000,000000,United States,829,Makah,230
00,000,000000,United States,830,Kwakiutl,80
00,000,000000,United States,834,Upper Chehalis,10
00,000,000000,United States,835,Clallam,95
00,000,000000,United States,836,Coeur d'Alene,75
00,000,000000,United States,837,Columbia,75
00,000,000000,United States,839,Salish,1315
00,000,000000,United States,841,Okanogan,200
00,000,000000,United States,842,Puget Sound Salish,185
00,000,000000,United States,843,Quinault,45
00,000,000000,United States,845,Twana,15
